day,date,time_ist,slot,format,pillar,title,hook,cta,hashtags,festival,stories,launch_post,status
"11","2026-10-11","19:30","1","Carousel","Packaging","Navratri gifting, nine ways","Nine days of visits. Here’s what to take.","DM to order · Link in bio.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","Navratri begins","Family & festive moments; weekend order cut-off reminder","#11","planned"
"12","2026-10-12","19:30","1","Photo","Corporate gifting","What planning ahead looks like","When you plan eight weeks ahead, dispatch day looks like this.","HR & admin teams: DM “DIWALI” for the catalogue.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers","","Poll: “Which sweet are you?” + link sticker to /sweets","#12","planned"
"13","2026-10-13","19:30","1","Reel","Customer testimonials & reactions","Open it without knowing what’s inside","We handed strangers a box and said nothing.","Would you open it on camera? Tell us who to surprise next.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Behind the scenes: kitchen clips, halwai at work","#13","planned"
"14","2026-10-14","19:30","1","Carousel","Packaging","Anatomy of a Mithaiwallah gift box","Everything that goes into a box before the sweets do.","Save for your next gifting brief.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","Question box: “Ask us anything about mithai / gifting”","#14","planned"
"15","2026-10-15","19:30","1","Photo","Sweet-making process","Silver varq, one sheet at a time","The quiet one on the platter.","Double-tap if malai barfi is underrated.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #MalaiBarfi #SilverVarq #Barfi #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Order reminder + link sticker; countdown sticker near festivals","#15","planned"
"16","2026-10-16","19:30","1","Reel","Sweet-making process","Kunda: milk, taken to its darkest","Most sweetmakers stop here. We keep going.","Comment “KUNDA” if you’ve never tried it — we’ll tell you where to start.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Kunda #CaramelisedMilk #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Reshare customer stories and unboxings (with permission)","#16","planned"
"17","2026-10-17","19:30","1","Carousel","Corporate gifting","The Diwali gifting checklist for HR teams","HR teams: screenshot this before your Diwali meeting.","DM “CHECKLIST” and we’ll send the corporate catalogue.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers","","Founder takeover: 3–5 frames, face to camera","#17","planned"
"18","2026-10-18","19:30","1","Photo","Founder journey","The founder, in the kitchen","“[One-line founder quote — true and specific].”","Ask the founder anything 👇","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Family & festive moments; weekend order cut-off reminder","#18","planned"
"19","2026-10-19","19:30","1","Reel","Packaging","Your logo, in gold — watch it happen","Your logo, in gold. Watch it happen.","DM “LOGO” to see your brand on a Mithaiwallah box.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","Poll: “Which sweet are you?” + link sticker to /sweets","#19","planned"
"20","2026-10-20","19:30","1","Carousel","Customer testimonials & reactions","Dussehra: who are you sharing this box with?","Victory tastes sweeter shared.","Tag someone · Follow · Share to stories.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","Dussehra","Behind the scenes: kitchen clips, halwai at work","#20","planned"
"21","2026-10-21","19:30","1","Photo","Wedding gifting","The invitation that arrives with sweets","Some invitations you read. This one you taste.","DM “WEDDING” to plan your invitation boxes.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Question box: “Ask us anything about mithai / gifting”","#21","planned"
"22","2026-10-22","19:30","1","Reel","Sweet-making process","Count the almonds","Count the almonds. We dare you.","Comment your count 👇","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #MilkCake #AlwarKaMawa #DesiGhee #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Order reminder + link sticker; countdown sticker near festivals","#22","planned"
"23","2026-10-23","19:30","1","Carousel","Wedding gifting","How many boxes does your wedding need?","Planning a wedding? Save this before you order a single box.","Save + send to the person managing the guest list.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Reshare customer stories and unboxings (with permission)","#23","planned"
"24","2026-10-24","19:30","1","Photo","Sweet-making process","The hands behind every box","The hands behind every box.","Say hello to [name] in the comments 🙏","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","#24","planned"
"25","2026-10-25","19:30","1","Reel","Wedding gifting","Building a wedding hamper","Building a wedding hamper for [A & R] (with their permission).","DM “WEDDING” to design yours.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Family & festive moments; weekend order cut-off reminder","#25","planned"
"26","2026-10-26","19:30","1","Carousel","Sweet-making process","From milk to milk cake in 7 steps","From milk to milk cake, in 7 steps.","Save and share with someone who thinks milk cake is “just a sweet.”","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #MilkCake #AlwarKaMawa #DesiGhee","","Poll: “Which sweet are you?” + link sticker to /sweets","#26","planned"
"27","2026-10-27","19:30","1","Photo","Packaging","The Royal Trunk","For the relationships that matter most.","For leadership and key-client gifting — DM “ROYAL”.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Behind the scenes: kitchen clips, halwai at work","#27","planned"
"28","2026-10-28","19:30","1","Reel","Founder journey","Three things I will never compromise on","Three things I will never compromise on.","What’s your non-negotiable in your work? Tell me below.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Question box: “Ask us anything about mithai / gifting”","#28","planned"
"29","2026-10-29","19:30","1","Carousel","Packaging","Last week to book branded Diwali orders","Karva Chauth today. Diwali in 10 days. Have you ordered?","DM “DIWALI” · Link in bio.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","Karva Chauth","Order reminder + link sticker; countdown sticker near festivals","#29","planned"
"30","2026-10-30","19:30","1","Photo","Sweet-making process","The Diwali thali","Nine days to Diwali.","Order your festive box — link in bio.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Reshare customer stories and unboxings (with permission)","#30","planned"
"31","2026-10-31","19:30","1","Carousel","Wedding gifting","Wedding planner collab: 3 favour trends","3 wedding favour trends planners love this season.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Founder takeover: 3–5 frames, face to camera","","planned"
"32","2026-11-01","12:30","1","Reel","Sweet-making process","Milk Cake: slow-motion pour & first stir","Watch this milk turn into Milk Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Family & festive moments; weekend order cut-off reminder","","planned"
"32","2026-11-01","20:00","2","Carousel","Packaging","Custom sleeve printing: proof → final","From proof to box in 4 slides.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"33","2026-11-02","12:30","1","Reel","Sweet-making process","Milk Cake: the cut reveal","The cut you didn’t know you needed.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"33","2026-11-02","20:00","2","Carousel","Corporate gifting","Three gifting tiers explained","Team, leadership, key clients: how to budget.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"34","2026-11-03","12:30","1","Reel","Founder journey","A day in the founder’s life in Diwali week","Diwali week, as a sweets founder.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Behind the scenes: kitchen clips, halwai at work","","planned"
"34","2026-11-03","20:00","2","Carousel","Sweet-making process","Milk Cake: how to serve it","3 ways to serve Milk Cake like a host.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"35","2026-11-04","12:30","1","Reel","Wedding gifting","Monogram reveal on a return-gift box","Their initials, in gold.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Question box: “Ask us anything about mithai / gifting”","","planned"
"35","2026-11-04","20:00","2","Carousel","Packaging","Tray layouts: 4, 6 or 9 cavities","Pick your layout.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"36","2026-11-05","12:30","1","Reel","Sweet-making process","Milk Cake: garnish close-up","The finishing touch on Milk Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"36","2026-11-05","20:00","2","Carousel","Sweet-making process","Milk Cake: ingredient story","What actually goes into Milk Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"37","2026-11-06","12:30","1","Reel","Packaging","Dhanteras: the gold in every box","The only gold you can eat.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers","Dhanteras","Reshare customer stories and unboxings (with permission)","","planned"
"37","2026-11-06","20:00","2","Carousel","Wedding gifting","Destination-wedding hamper packing","How we ship hampers to a destination wedding.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"38","2026-11-07","12:30","1","Reel","Sweet-making process","Milk Cake: texture macro (ASMR)","Sound on. This is Milk Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","","planned"
"38","2026-11-07","20:00","2","Carousel","Corporate gifting","Corporate gifting FAQ","Your corporate gifting questions, answered.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"39","2026-11-08","12:30","1","Reel","Sweet-making process","Happy Diwali from the Mithaiwallah kitchen","From our kadhai to your thali — Happy Diwali.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers","Diwali","Family & festive moments; weekend order cut-off reminder","","planned"
"39","2026-11-08","20:00","2","Carousel","Founder journey","Prayagraj roots","Why Prayagraj.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"40","2026-11-09","12:30","1","Reel","Packaging","ASMR box packing — a different sweet each time","Packed by hand. Sound on.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"40","2026-11-09","20:00","2","Carousel","Sweet-making process","Milk Cake: myth vs fact","Milk Cake: 4 things people get wrong.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"41","2026-11-10","12:30","1","Photo","Packaging","Bhai Dooj sibling box","For the sibling who still steals your sweets.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers","Bhai Dooj (10–11 Nov by region)","Behind the scenes: kitchen clips, halwai at work","","planned"
"41","2026-11-10","20:00","2","Carousel","Wedding gifting","Wedding sweets by ceremony: roka to bidaai","A box for every ceremony.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"42","2026-11-11","19:30","1","Photo","Sweet-making process","Milk Cake: hero still","Milk Cake. That’s it. That’s the post.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Question box: “Ask us anything about mithai / gifting”","","planned"
"43","2026-11-12","19:30","1","Carousel","Customer testimonials & reactions","DM screenshots (with permission, names hidden)","Messages that made our week.","Tag someone · share your unboxing","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"44","2026-11-13","19:30","1","Reel","Sweet-making process","Milk Cake: halwai’s tip","A halwai’s secret for perfect Milk Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Reshare customer stories and unboxings (with permission)","","planned"
"45","2026-11-14","19:30","1","Photo","Corporate gifting","Employee milestone gifting","Work anniversaries deserve better than an email.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","Founder takeover: 3–5 frames, face to camera","","planned"
"46","2026-11-15","19:30","1","Carousel","Founder journey","Meet the team","The people behind every box.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Family & festive moments; weekend order cut-off reminder","","planned"
"47","2026-11-16","19:30","1","Reel","Sweet-making process","Kalakand: slow-motion pour & first stir","Watch this milk turn into Kalakand.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"48","2026-11-17","19:30","1","Photo","Wedding gifting","Baraat box","For the baraat.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Behind the scenes: kitchen clips, halwai at work","","planned"
"49","2026-11-18","19:30","1","Carousel","Packaging","Packing for a 1,500 km journey","How our sweets survive a 1,500 km journey.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Question box: “Ask us anything about mithai / gifting”","","planned"
"50","2026-11-19","19:30","1","Reel","Sweet-making process","Kalakand: the cut reveal","The cut you didn’t know you needed.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"51","2026-11-20","19:30","1","Photo","Sweet-making process","Kalakand: hero still","Kalakand. That’s it. That’s the post.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Reshare customer stories and unboxings (with permission)","","planned"
"52","2026-11-21","19:30","1","Carousel","Packaging","Box colour stories: maroon, ivory, gold","Three colours, three moods.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Founder takeover: 3–5 frames, face to camera","","planned"
"53","2026-11-22","19:30","1","Reel","Wedding gifting","Return-gift table set-up at a venue","The last thing guests see before they leave.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Family & festive moments; weekend order cut-off reminder","","planned"
"54","2026-11-23","19:30","1","Photo","Sweet-making process","Malai Barfi: hero still","Malai Barfi. That’s it. That’s the post.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"55","2026-11-24","19:30","1","Carousel","Corporate gifting","New Year client gifting","The client gift that isn’t another diary.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","Behind the scenes: kitchen clips, halwai at work","","planned"
"56","2026-11-25","19:30","1","Reel","Founder journey","Biggest mistake so far","The mistake that cost us [x] — and what we changed.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Question box: “Ask us anything about mithai / gifting”","","planned"
"57","2026-11-26","19:30","1","Photo","Sweet-making process","Peda: hero still","Peda. That’s it. That’s the post.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"58","2026-11-27","19:30","1","Carousel","Packaging","Sustainable choices in our packaging","What happens to your box after the sweets are gone.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Reshare customer stories and unboxings (with permission)","","planned"
